quantity,citation,reported,observed,delta,tolerance,status,notes
participants,"Section 3.1, 3.2, 3.4",60.0,60.0,0.0,0.0,match,
PM cue trials per participant per block,"Section 3.1, 3.2, 3.4",16.0,14.0,-2.0,0.5,MISMATCH,counted as trials whose stimulus is one of the three PM cue words
shortest non-cue stimulus (letters),"Section 3.2, 'a word length ranging from six to eight letters'",6.0,4.0,-2.0,0.0,MISMATCH,44.7% of non-cue trials use strings outside 6-8 letters
lmm_ld: conditional R2,"Section 4.1.1, Lexical Decision Task",0.67,0.99,0.31999999999999995,0.01,MISMATCH,paper quotes a single R2 without saying marginal or conditional
lmm_ld: t degrees of freedom,"Section 4.1.1, Lexical Decision Task",114.0,114.0,0.0,0.0,match,
lmm_ld: beta[rest],"Section 4.1.1, Lexical Decision Task",-0.001,-0.001,0.0,0.006,match,
lmm_ld: t[rest],"Section 4.1.1, Lexical Decision Task",-0.03,-0.03,0.0,0.05,match,
lmm_ld: beta[twitter],"Section 4.1.1, Lexical Decision Task",0.005,0.005,0.0,0.006,match,
lmm_ld: t[twitter],"Section 4.1.1, Lexical Decision Task",0.11,0.11,0.0,0.05,match,
lmm_ld: beta[youtube],"Section 4.1.1, Lexical Decision Task",-0.07,-0.067,0.0030000000000000027,0.006,match,
lmm_ld: t[youtube],"Section 4.1.1, Lexical Decision Task",-1.47,-1.47,0.0,0.05,match,
lmm_pm: conditional R2,"Section 4.1.1, Prospective Memory Task",0.67,0.67,0.0,0.01,match,paper quotes a single R2 without saying marginal or conditional
lmm_pm: t degrees of freedom,"Section 4.1.1, Prospective Memory Task",110.0,110.0,0.0,0.0,match,
lmm_pm: beta[rest],"Section 4.1.1, Prospective Memory Task",0.46,0.456,-0.0040000000000000036,0.006,match,
lmm_pm: t[rest],"Section 4.1.1, Prospective Memory Task",7.25,7.25,0.0,0.05,match,
lmm_pm: beta[twitter],"Section 4.1.1, Prospective Memory Task",0.49,0.489,-0.0010000000000000009,0.006,match,
lmm_pm: t[twitter],"Section 4.1.1, Prospective Memory Task",7.77,7.77,0.0,0.05,match,
lmm_pm: beta[youtube],"Section 4.1.1, Prospective Memory Task",0.34,0.342,0.0020000000000000018,0.006,match,
lmm_pm: t[youtube],"Section 4.1.1, Prospective Memory Task",5.42,5.42,0.0,0.05,match,
lmm_pm: beta[pre],"Section 4.1.1, Prospective Memory Task",0.31,0.314,0.0040000000000000036,0.006,match,
lmm_pm: t[pre],"Section 4.1.1, Prospective Memory Task",6.7,6.7,0.0,0.05,match,
lmm_ld_vs_pm: conditional R2,"Section 4.1.1, Behavioral accuracy Comparison between LD and PM tasks",0.38,0.38,0.0,0.01,match,paper quotes a single R2 without saying marginal or conditional
lmm_ld_vs_pm: t degrees of freedom,"Section 4.1.1, Behavioral accuracy Comparison between LD and PM tasks",230.0,230.0,0.0,0.0,match,
